mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
Iluka Western Australia;NA;O.bulk;NA;2017;NA
Iluka Western Australia;NA;O.bulk;NA;2016;NA
Iluka Western Australia;NA;O.bulk;NA;2015;NA
Iluka Western Australia;NA;O.bulk;NA;2014;NA
Iluka Western Australia;NA;O.bulk;NA;2013;NA
Iluka Western Australia;NA;O.bulk;NA;2012;NA
Iluka Western Australia;NA;O.bulk;NA;2011;NA
Iluka Western Australia;NA;O.bulk;NA;2010;NA
IMMSA - Charcas;NA;NA;NA;2013;NA
IMMSA - Charcas;NA;NA;NA;2012;NA
IMMSA - Charcas;NA;NA;NA;2011;NA
IMMSA - Charcas;NA;NA;NA;2010;NA
IMMSA - Charcas;NA;NA;NA;2009;NA
IMMSA - Charcas;NA;NA;NA;2008;NA
IMMSA - Charcas;NA;NA;NA;2007;NA
IMMSA - Charcas;NA;NA;NA;2006;NA
IMMSA - Charcas;NA;NA;NA;2005;NA
IMMSA - San Martin;NA;NA;NA;2007;NA
IMMSA - San Martin;NA;NA;NA;2006;NA
IMMSA - San Martin;NA;NA;NA;2005;NA
IMMSA - Santa Barbara;NA;NA;NA;2013;NA
IMMSA - Santa Barbara;NA;NA;NA;2012;NA
IMMSA - Santa Barbara;NA;NA;NA;2011;NA
IMMSA - Santa Barbara;NA;NA;NA;2010;NA
IMMSA - Santa Barbara;NA;NA;NA;2009;NA
IMMSA - Santa Barbara;NA;NA;NA;2008;NA
IMMSA - Santa Barbara;NA;NA;NA;2007;NA
IMMSA - Santa Barbara;NA;NA;NA;2006;NA
IMMSA - Santa Barbara;NA;NA;NA;2005;NA
IMMSA - Santa Eulalia;NA;NA;NA;2013;NA
IMMSA - Santa Eulalia;NA;NA;NA;2012;NA
IMMSA - Santa Eulalia;NA;NA;NA;2011;NA
IMMSA - Santa Eulalia;NA;NA;NA;2010;NA
IMMSA - Santa Eulalia;NA;NA;NA;2009;NA
IMMSA - Santa Eulalia;NA;NA;NA;2008;NA
IMMSA - Santa Eulalia;NA;NA;NA;2007;NA
IMMSA - Santa Eulalia;NA;NA;NA;2006;NA
IMMSA - Santa Eulalia;NA;NA;NA;2005;NA
IMMSA - Taxco;NA;NA;NA;2007;NA
IMMSA - Taxco;NA;NA;NA;2006;NA
IMMSA - Taxco;NA;NA;NA;2005;NA
Ingulets GOK;NA;Con.Fe;NA;2019;NA
Ingulets GOK;NA;Con.Fe;NA;2015;NA
Ingulets GOK;NA;Con.Fe;NA;2014;NA
Ingulets GOK;NA;Con.Fe;NA;2013;NA
Ingulets GOK;NA;Con.Fe;NA;2012;NA
Ingulets GOK;NA;Con.Fe;NA;2011;NA
Ingulets GOK;NA;Con.Fe;NA;2008;NA
Irtyshsky;NA;NA;NA;2014;NA
Irtyshsky;NA;NA;NA;2013;NA
Irtyshsky;NA;NA;NA;2012;NA
Irtyshsky;NA;NA;NA;2011;NA
Irtyshsky;NA;NA;NA;2010;NA
Irtyshsky;NA;NA;NA;2009;NA
Irtyshsky;NA;NA;NA;2008;NA
Irtyshsky;NA;NA;NA;2007;NA
Itabira;NA;O.Fe;Open pit;2019;NA
Itabira;NA;O.Fe;Open pit;2018;NA
Itabira;NA;O.Fe;Open pit;2017;NA
Itabira;NA;O.Fe;Open pit;2016;NA
Itabira;NA;O.Fe;Open pit;2015;NA
Itabira;NA;O.Fe;Open pit;2014;NA
Itabira;Caue;O.Fe;Open pit;2013;NA
Itabira;Conceicao;O.Fe;Open pit;2013;NA
Itabira;Caue;O.Fe;Open pit;2012;NA
Itabira;Conceicao;O.Fe;Open pit;2012;NA
Itabira;Caue;O.Fe;Open pit;2011;NA
Itabira;Conceicao;O.Fe;Open pit;2011;NA
Itabira;Caue;O.Fe;Open pit;2010;NA
Itabira;Conceicao;O.Fe;Open pit;2010;NA
Itabira;Caue;O.Fe;Open pit;2009;NA
Itabira;Conceicao;O.Fe;Open pit;2009;NA
Itabira;Caue;O.Fe;Open pit;2008;NA
Itabira;Conceicao;O.Fe;Open pit;2008;NA
Itabira;Caue;O.Fe;Open pit;2007;NA
Itabira;Conceicao;O.Fe;Open pit;2007;NA
Itabira;Caue;O.Fe;Open pit;2006;NA
Itabira;Conceicao;O.Fe;Open pit;2006;NA
Itabira;Caue;O.Fe;Open pit;2005;NA
Itabira;Conceicao;O.Fe;Open pit;2005;NA
Itabira;Caue;O.Fe;Open pit;2004;NA
Itabira;Conceicao;O.Fe;Open pit;2004;NA
Itabira;Caue;O.Fe;Open pit;2003;NA
Itabira;Conceicao;O.Fe;Open pit;2003;NA
Itabira;Caue;O.Fe;Open pit;2002;NA
Itabira;Conceicao;O.Fe;Open pit;2002;NA
Itabira;Caue;O.Fe;Open pit;2001;NA
Itabira;Conceicao;O.Fe;Open pit;2001;NA
Itabira;Caue;O.Fe;Open pit;2000;NA
Itabira;Conceicao;O.Fe;Open pit;2000;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2019;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2018;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2017;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2016;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2015;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2014;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2013;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2012;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2011;NA
Jacinth-Ambrosia;NA;O.bulk;NA;2010;NA
Kalgoorlie;NA;O.Au;Open pit;2013;NA
Kalgoorlie;NA;O.Au;Underground;2013;NA
Kansanshi;NA;O.sul;NA;2018;NA
Kansanshi;NA;O.oxi;NA;2018;NA
Kansanshi;NA;O.sul;NA;2017;NA
Kansanshi;NA;O.oxi;NA;2017;NA
Kansanshi;NA;O.sul;NA;2016;NA
Kansanshi;NA;O.oxi;NA;2016;NA
Kansanshi;NA;O.sul;NA;2015;NA
Kansanshi;NA;O.oxi;NA;2015;NA
Kansanshi;NA;O.sul;NA;2014;NA
Kansanshi;NA;O.oxi;NA;2014;NA
Kansanshi;NA;O.sul;NA;2013;NA
Kansanshi;NA;O.oxi;NA;2013;NA
Kansanshi;NA;O.sul;NA;2012;NA
Kansanshi;NA;O.oxi;NA;2012;NA
Kansanshi;NA;O.sul;NA;2011;NA
Kansanshi;NA;O.oxi;NA;2011;NA
Kansanshi;NA;O.sul;NA;2010;NA
Kansanshi;NA;O.oxi;NA;2010;NA
Kansanshi;NA;O.sul;NA;2009;NA
Kansanshi;NA;O.oxi;NA;2009;NA
Kansanshi;NA;O.sul;NA;2008;NA
Kansanshi;NA;O.oxi;NA;2008;NA
Kansanshi;NA;O.sul;NA;2007;NA
Kansanshi;NA;O.oxi;NA;2007;NA
Kansanshi;NA;O.sul;NA;2006;NA
Kansanshi;NA;O.oxi;NA;2006;NA
Kansanshi;NA;O.sul;NA;2005;NA
Kansanshi;NA;O.oxi;NA;2005;NA
Kansanshi;NA;NA;NA;2004;NA
Kayad;NA;Con.Zn;Underground;2019;NA
Kayad;NA;Con.Pb;Underground;2019;NA
Kayad;NA;Con.Zn;Underground;2018;NA
Kayad;NA;Con.Pb;Underground;2018;NA
Kayad;NA;Con.Zn;Underground;2017;NA
Kayad;NA;Con.Pb;Underground;2017;NA
Kayad;NA;Con.Zn;Underground;2016;NA
Kayad;NA;Con.Pb;Underground;2016;NA
Kayad;NA;Con.Zn;Underground;2015;NA
Kayad;NA;Con.Pb;Underground;2015;NA
Kayad;NA;Con.Zn;Underground;2014;NA
Kayad;NA;Con.Pb;Underground;2014;NA
Kevitsa;NA;Con.Cu;NA;2018;NA
Kevitsa;NA;Con.Ni;NA;2018;NA
Kevitsa;NA;Con.Cu;NA;2017;NA
Kevitsa;NA;Con.Ni;NA;2017;NA
Kryvyi Rih;NA;O.Fe;Open pit;2019;NA
Kryvyi Rih;NA;O.Fe;Underground;2019;NA
Kryvyi Rih;NA;O.Fe;Open pit;2018;NA
Kryvyi Rih;NA;O.Fe;Underground;2018;NA
Kryvyi Rih;NA;O.Fe;Open pit;2017;NA
Kryvyi Rih;NA;O.Fe;Underground;2017;NA
Kryvyi Rih;NA;O.Fe;Open pit;2016;NA
Kryvyi Rih;NA;O.Fe;Underground;2016;NA
Kryvyi Rih;NA;O.Fe;Open pit;2015;NA
Kryvyi Rih;NA;O.Fe;Underground;2015;NA
Kryvyi Rih;NA;O.Fe;Open pit;2014;NA
Kryvyi Rih;NA;O.Fe;Underground;2014;NA
Kryvyi Rih;NA;O.Fe;Open pit;2013;NA
Kryvyi Rih;NA;O.Fe;Underground;2013;NA
Kryvyi Rih;NA;O.Fe;Open pit;2012;NA
Kryvyi Rih;NA;O.Fe;Underground;2012;NA
Kryvyi Rih;NA;O.Fe;Open pit;2011;NA
Kryvyi Rih;NA;O.Fe;Underground;2011;NA
Kryvyi Rih;NA;Con.Fe;Open pit;2010;NA
Kryvyi Rih;NA;Oth.sif;Underground;2010;NA
Kryvyi Rih;NA;Con.Fe;Open pit;2009;NA
Kryvyi Rih;NA;Oth.sif;Underground;2009;NA
Kryvyi Rih;NA;Con.Fe;Open pit;2008;NA
Kryvyi Rih;NA;Oth.sif;Underground;2008;NA
Kylylahti;NA;Con.Cu;NA;2018;NA
Kylylahti;NA;Con.Zn;NA;2018;NA
Kylylahti;NA;Con.Cu;NA;2017;NA
Kylylahti;NA;Con.Zn;NA;2017;NA
Kylylahti;NA;Con.Cu;NA;2016;NA
Kylylahti;NA;Con.Zn;NA;2016;NA
Kylylahti;NA;Con.Cu;NA;2015;NA
Kylylahti;NA;Con.Zn;NA;2015;NA
La Arena;NA;O.bulk;NA;2019;NA
La Caridad;NA;O.bulk;Open pit;2019;NA
La Caridad;NA;O.bulk;Open pit;2018;NA
La Caridad;NA;O.bulk;Open pit;2017;NA
La Caridad;NA;O.bulk;Open pit;2016;NA
La Caridad;NA;O.bulk;Open pit;2015;NA
La Caridad;NA;O.bulk;Open pit;2014;NA
La Caridad;NA;O.bulk;Open pit;2013;NA
La Caridad;NA;O.bulk;Open pit;2012;NA
La Caridad;NA;O.bulk;Open pit;2011;NA
La Caridad;NA;O.bulk;Open pit;2010;NA
La Caridad;NA;O.bulk;Open pit;2009;NA
La Caridad;NA;O.bulk;Open pit;2008;NA
La Caridad;NA;O.bulk;Open pit;2007;NA
La Caridad;NA;O.bulk;Open pit;2006;NA
La Caridad;NA;O.bulk;Open pit;2005;NA
Lagunas Norte;NA;NA;NA;2018;NA
Lagunas Norte;NA;NA;NA;2017;NA
Las Bambas;NA;NA;NA;2018;NA
Las Bambas;NA;NA;NA;2017;NA
Las Bambas;NA;NA;NA;2016;NA
Las Truchas;NA;Con.Fe;NA;2010;NA
Las Truchas;NA;Con.Fe;NA;2009;NA
Las Truchas;NA;Con.Fe;NA;2008;NA
Leonora;Gwalia;O.Au;NA;2009;NA
Lihir;NA;NA;NA;2018;NA
Lihir;NA;NA;NA;2017;NA
Lihir;NA;NA;NA;2016;NA
Lihir;NA;NA;NA;2015;NA
Lihir;NA;NA;NA;2014;NA
Lihir;NA;NA;NA;2013;NA
Lihir;NA;NA;NA;2012;NA
Lisheen;NA;Con.Zn;Underground;2016;NA
Lisheen;NA;Con.Pb;Underground;2016;NA
Lisheen;NA;Con.Zn;Underground;2015;NA
Lisheen;NA;Con.Pb;Underground;2015;NA
Lisheen;NA;Con.Zn;Underground;2014;NA
Lisheen;NA;Con.Pb;Underground;2014;NA
Lisheen;NA;Con.Zn;Underground;2013;NA
Lisheen;NA;Con.Pb;Underground;2013;NA
Lisheen;NA;Con.Zn;Underground;2012;NA
Lisheen;NA;Con.Pb;Underground;2012;NA
Lisheen;NA;Con.Zn;Underground;2011;NA
Lisheen;NA;Con.Pb;Underground;2011;NA
Lisheen;NA;Con.Zn;Underground;2010;NA
Lisheen;NA;Con.Pb;Underground;2010;NA
Lisheen;NA;O.Zn;NA;2009;NA
Lisheen;NA;O.Zn;NA;2008;NA
Lisheen;NA;O.Zn;NA;2007;NA
Lisheen;NA;O.Zn;NA;2006;NA
Lisheen;NA;O.Zn;NA;2005;NA
Lisheen;NA;O.Zn;NA;2004;NA
Lisheen;NA;O.Zn;NA;2003;NA
Long Canyon;NA;O.Au;Open pit;2018;leaching
Long Canyon;NA;O.Au;Open pit;2017;leaching
Long Canyon;NA;O.Au;Open pit;2016;leaching
Los Bronces;NA;O.sul;NA;2018;NA
Los Bronces;NA;O.sul;NA;2017;NA
Los Bronces;NA;O.Cu;NA;2016;NA
Los Bronces;NA;O.sul;NA;2015;NA
Los Bronces;NA;O.sul;NA;2014;NA
Los Bronces;NA;O.sul;NA;2013;NA
Los Bronces;Confluencia;NA;NA;2012;NA
Los Bronces;Las Tortolas;NA;NA;2012;NA
Los Bronces;Las Tortolas;NA;NA;2011;NA
Los Bronces;Confluencia;NA;NA;2011;NA
Los Bronces;Las Tortolas;NA;NA;2010;NA
Los Bronces;Las Tortolas;NA;NA;2009;NA
Los Bronces;Las Tortolas;NA;NA;2008;NA
Los Bronces;Las Tortolas;NA;NA;2007;NA
Los Bronces;Las Tortolas;NA;NA;2006;NA
Los Bronces;Las Tortolas;NA;NA;2005;NA
Los Bronces;Las Tortolas;NA;NA;2004;NA
Los Bronces;Las Tortolas;NA;NA;2003;NA
Los Pelambres;NA;Con.Cu;NA;2011;NA
Los Pelambres;NA;Con.Cu;NA;2010;NA
Los Pelambres;NA;Con.Cu;NA;2009;NA
Los Pelambres;NA;Con.Cu;NA;2008;NA
Los Pelambres;NA;Con.Cu;NA;2007;NA
Los Pelambres;NA;Con.Cu;NA;2006;NA
Los Pelambres;NA;Con.Cu;NA;2005;NA
Los Pelambres;NA;Con.Cu;NA;2004;NA
Los Pelambres;NA;Con.Cu;NA;2003;NA
Los Pelambres;NA;Con.Cu;NA;2002;NA
Los Pelambres;NA;Con.Cu;NA;2001;NA
Los Pelambres;NA;Con.Cu;NA;2000;NA
Lounge Lizard;NA;O.Ni;NA;2012;NA
Lubambe;NA;Con.Cu;NA;2017;NA
Lubambe;NA;Con.Cu;NA;2016;NA
Lubambe;NA;Con.Cu;NA;2015;NA
Lubambe;NA;Con.Cu;NA;2014;NA
Lubambe;NA;Con.Cu;NA;2013;NA
Mainpat;NA;O.Al;Open pit;2019;NA
Mainpat;NA;O.Al;Open pit;2015;NA
Mainpat;NA;O.Al;Open pit;2014;NA
Mantos Blancos;NA;O.sul;NA;2015;NA
Mantos Blancos;NA;O.sul;NA;2014;NA
Mantos Blancos;NA;O.sul;NA;2013;NA
Mantos Blancos;NA;O.oxi;NA;2012;NA
Mantos Blancos;NA;O.Cu;NA;2012;NA
Mantos Blancos;NA;O.sul;NA;2012;NA
Mantos Blancos;NA;O.sul;NA;2011;NA
Mantos Blancos;NA;O.oxi;NA;2011;NA
Mantos Blancos;NA;O.Cu;NA;2011;NA
Mantos Blancos;NA;O.sul;NA;2010;NA
Mantos Blancos;NA;O.oxi;NA;2010;NA
Mantos Blancos;NA;O.Cu;NA;2010;NA
Mantos Blancos;NA;O.sul;NA;2009;NA
Mantos Blancos;NA;O.oxi;NA;2009;NA
Mantos Blancos;NA;O.Cu;NA;2009;NA
Mantos Blancos;NA;O.sul;NA;2008;NA
Mantos Blancos;NA;O.oxi;NA;2008;NA
Mantos Blancos;NA;O.Cu;NA;2008;NA
Mantos Blancos;NA;O.sul;NA;2007;NA
Mantos Blancos;NA;O.oxi;NA;2007;NA
Mantos Blancos;NA;O.Cu;NA;2007;NA
Mantos Blancos;NA;O.sul;NA;2006;NA
Mantos Blancos;NA;O.oxi;NA;2006;NA
Mantos Blancos;NA;O.Cu;NA;2006;NA
Mantos Blancos;NA;O.sul;NA;2005;NA
Mantos Blancos;NA;O.oxi;NA;2005;NA
Mantos Blancos;NA;O.Cu;NA;2005;NA
Mantos Blancos;NA;O.sul;NA;2004;NA
Mantos Blancos;NA;O.oxi;NA;2004;NA
Mantos Blancos;NA;O.Cu;NA;2004;NA
Mantos Blancos;NA;O.sul;NA;2003;NA
Mantos Blancos;NA;O.oxi;NA;2003;NA
Mantos Blancos;NA;O.Cu;NA;2003;NA
Mantoverde;NA;O.oxi;NA;2015;NA
Mantoverde;NA;O.Cu;NA;2015;NA
Mantoverde;NA;O.oxi;NA;2014;NA
Mantoverde;NA;O.Cu;NA;2014;NA
Mantoverde;NA;O.oxi;NA;2013;NA
Mantoverde;NA;O.Cu;NA;2013;NA
Mantoverde;NA;O.oxi;NA;2012;NA
Mantoverde;NA;O.Cu;NA;2012;NA
Mantoverde;NA;O.oxi;NA;2011;NA
Mantoverde;NA;O.Cu;NA;2011;NA
Mantoverde;NA;O.oxi;NA;2010;NA
Mantoverde;NA;O.Cu;NA;2010;NA
Mantoverde;NA;O.oxi;NA;2009;NA
Mantoverde;NA;O.Cu;NA;2009;NA
Mantoverde;NA;O.oxi;NA;2008;NA
Mantoverde;NA;O.Cu;NA;2008;NA
Mantoverde;NA;O.oxi;NA;2007;NA
Mantoverde;NA;O.Cu;NA;2007;NA
Mantoverde;NA;O.oxi;NA;2006;NA
Mantoverde;NA;O.Cu;NA;2006;NA
Mantoverde;NA;O.oxi;NA;2005;NA
Mantoverde;NA;O.Cu;NA;2005;NA
Mantoverde;NA;O.oxi;NA;2004;NA
Mantoverde;NA;O.Cu;NA;2004;NA
Mantoverde;NA;O.oxi;NA;2003;NA
Mantoverde;NA;O.Cu;NA;2003;NA
Martha;NA;O.bulk;NA;2013;NA
Martha;NA;O.bulk;NA;2012;NA
Martha;NA;O.bulk;NA;2011;NA
Middleback Ranges;NA;O.Fe;NA;2011;NA
Middleback Ranges;NA;O.Fe;NA;2010;NA
Middleback Ranges;NA;O.Fe;NA;2009;NA
Middleback Ranges;NA;O.Fe;NA;2008;NA
Middleback Ranges;NA;O.Fe;NA;2006;NA
Middleback Ranges;NA;O.Fe;NA;2005;NA
Middleback Ranges;NA;O.Fe;NA;2001;NA
Middleback Ranges;NA;O.Fe;NA;2000;NA
Mikhailovsky GOK;NA;O.Fe;NA;2019;NA
Mikhailovsky GOK;NA;O.Fe;NA;2018;NA
Mikhailovsky GOK;NA;O.Fe;NA;2017;NA
Mikhailovsky GOK;NA;O.Fe;NA;2016;NA
Mikhailovsky GOK;NA;O.Fe;NA;2015;NA
Mikhailovsky GOK;NA;O.Fe;NA;2014;NA
Mikhailovsky GOK;NA;O.Fe;NA;2013;NA
Mikhailovsky GOK;NA;O.Fe;NA;2012;NA
Mikhailovsky GOK;NA;O.Fe;NA;2011;NA
Mikhailovsky GOK;NA;O.Fe;NA;2010;NA
Minorca;NA;O.Fe;NA;2019;NA
Minorca;NA;O.Fe;NA;2018;NA
Minorca;NA;O.Fe;NA;2017;NA
Minorca;NA;O.Fe;NA;2016;NA
Minorca;NA;O.Fe;NA;2015;NA
Minorca;NA;O.Fe;NA;2014;NA
Minorca;NA;O.Fe;NA;2013;NA
Minorca;NA;O.Fe;NA;2012;NA
Minorca;NA;O.Fe;NA;2011;NA
Minorca;NA;Con.Fe;NA;2010;NA
Minorca;NA;Con.Fe;NA;2009;NA
Minorca;NA;Con.Fe;NA;2008;NA
Minto;NA;Con.Cu;NA;2018;NA
Minto;NA;Con.Cu;NA;2017;NA
Minto;NA;Con.Cu;NA;2016;NA
Minto;NA;Con.Cu;NA;2015;NA
Minto;NA;Con.Cu;NA;2014;NA
Minto;NA;Con.Cu;NA;2013;NA
Minto;NA;Con.Cu;NA;2012;NA
Minto;NA;Con.bulk;NA;2011;NA
Minto;NA;Con.bulk;NA;2010;NA
Minto;NA;Con.bulk;NA;2009;NA
Minto;NA;Con.bulk;NA;2008;NA
Minto;NA;Con.bulk;NA;2007;NA
Mont Wright;NA;O.Fe;NA;2019;NA
Mont Wright;NA;O.Fe;NA;2018;NA
Mont Wright;NA;O.Fe;NA;2017;NA
Mont Wright;NA;O.Fe;NA;2016;NA
Mont Wright;NA;O.Fe;NA;2015;NA
Mont Wright;NA;O.Fe;NA;2014;NA
Mont Wright;NA;O.Fe;NA;2013;NA
Mont Wright;NA;O.Fe;NA;2012;NA
Mont Wright;NA;O.Fe;NA;2011;NA
Mont Wright;NA;Con.Fe;NA;2010;NA
Mont Wright;NA;Con.Fe;NA;2009;NA
Mont Wright;NA;Con.Fe;NA;2008;NA
Mount Garnet;Copper plant;O.bulk;NA;2012;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2012;NA
Mount Garnet;Copper plant;O.bulk;NA;2010;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2010;NA
Mount Garnet;Copper plant;O.bulk;NA;2009;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2009;NA
Mount Garnet;Copper plant;O.bulk;NA;2008;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2008;NA
Mount Garnet;Copper plant;O.bulk;NA;2007;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2007;NA
Mount Garnet;Copper plant;O.bulk;NA;2006;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2006;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2005;NA
Mount Garnet;Polymetallic plant;Con.Zn;NA;2005;NA
Mount Garnet;Polymetallic plant;Con.Pb;NA;2005;NA
Mount Garnet;Polymetallic plant;Con.Cu;NA;2005;NA
Mount Garnet;Polymetallic plant;O.bulk;NA;2004;NA
Mount Garnet;Polymetallic plant;Con.Zn;NA;2004;NA
Mount Garnet;Polymetallic plant;Con.Pb;NA;2004;NA
Mount Garnet;Polymetallic plant;Con.Cu;NA;2004;NA
Mount Keith;NA;Con.Ni;NA;2019;NA
Mount Keith;NA;Con.Ni;NA;2018;NA
Mount Keith;NA;Con.Ni;NA;2004;NA
Mount Keith;NA;Con.Ni;NA;2003;NA
Mount Keith;NA;Con.Ni;NA;2002;NA
Mt Cattlin;NA;O.Li;NA;2016;NA
Mt Cattlin;NA;O.Li;NA;2015;NA
Mt Cattlin;NA;O.Li;NA;2014;NA
Mt Cattlin;NA;O.Li;NA;2013;NA
Mt Cattlin;NA;Con.Ta;NA;2012;NA
Mt Lyell;NA;Con.Cu;Underground;2014;NA
Mt Lyell;NA;Con.Cu;Underground;2013;NA
Mt Lyell;NA;Con.Cu;Underground;2012;NA
Mt Lyell;NA;Con.Cu;Underground;2011;NA
Mt Lyell;NA;Con.Cu;Underground;2010;NA
Mt Lyell;NA;Con.Cu;Underground;2009;NA
Mt Lyell;NA;Con.Cu;Underground;2008;NA
Mt Lyell;NA;Con.Cu;Underground;2007;NA
Mt Lyell;NA;Con.Cu;Underground;2006;NA
Murray Basin;NA;O.bulk;NA;2015;NA
Murray Basin;NA;O.bulk;NA;2014;NA
Murray Basin;NA;O.bulk;NA;2013;NA
Murray Basin;NA;O.bulk;NA;2012;NA
Murray Basin;NA;O.bulk;NA;2011;NA
Murray Basin;NA;O.bulk;NA;2010;NA
Neves Corvo;NA;O.Zn;NA;2009;NA
Neves Corvo;NA;NA;NA;2005;NA
Nikolayevsky;NA;NA;NA;2012;NA
Nikolayevsky;NA;NA;NA;2011;NA
Nikolayevsky;NA;NA;NA;2010;NA
Nikolayevsky;NA;NA;NA;2009;NA
Nikolayevsky;NA;NA;NA;2008;NA
Nikolayevsky;NA;NA;NA;2007;NA
Nkomati;NA;Con.Cr;NA;2019;NA
Nkomati;NA;Con.Cr;NA;2018;NA
Nkomati;NA;Con.Cr;NA;2017;NA
Nkomati;NA;Con.Cr;NA;2016;NA
Nkomati;NA;Con.Cr;NA;2015;NA
Nkomati;NA;Con.Cr;NA;2014;NA
Nkomati;NA;Con.Cr;NA;2013;NA
Nkomati;NA;Con.Cr;NA;2012;NA
Nkomati;NA;O.Cr;NA;2011;NA
Nkomati;NA;Con.Cr;NA;2011;NA
Nkomati;NA;O.bulk;NA;2010;NA
Nkomati;NA;O.Cr;NA;2010;NA
Nkomati;NA;Con.Cr;NA;2010;NA
Nkomati;NA;O.bulk;NA;2009;NA
Nkomati;NA;O.Cr;NA;2009;NA
Nkomati;NA;Con.Cr;NA;2009;NA
Nkomati;NA;O.bulk;NA;2008;NA
Nkomati;NA;O.Cr;NA;2008;NA
Nkomati;NA;O.bulk;NA;2007;NA
Nkomati;NA;O.Cr;NA;2007;NA
Nkomati;NA;O.bulk;NA;2006;NA
Nkomati;NA;O.Cr;NA;2006;NA
Nkomati;NA;O.bulk;NA;2005;NA
Northern GOK;NA;Con.Fe;NA;2019;NA
Northern GOK;NA;Con.Fe;NA;2015;NA
Northern GOK;NA;Con.Fe;NA;2014;NA
Northern GOK;NA;Con.Fe;NA;2013;NA
Northern GOK;NA;Con.Fe;NA;2012;NA
Northern GOK;NA;Con.Fe;NA;2011;NA
Ok Tedi;NA;Con.Cu;NA;2019;NA
Ok Tedi;NA;Con.Cu;NA;2018;NA
Ok Tedi;NA;Con.Cu;NA;2017;NA
Ok Tedi;NA;Con.Cu;NA;2016;NA
Ok Tedi;NA;Con.Cu;NA;2015;NA
Ok Tedi;NA;Con.Cu;NA;2014;NA
Ok Tedi;NA;Con.Cu;NA;2012;NA
Ok Tedi;NA;Con.Cu;NA;2011;NA
Ok Tedi;NA;Con.Cu;NA;2010;NA
Ok Tedi;NA;Con.Cu;NA;2009;NA
Ok Tedi;NA;Con.Cu;NA;2008;NA
Ok Tedi;NA;Con.Cu;NA;2006;NA
