COUNTRY_NAME,ISO3_CODE,snl_country
Brazil,BRA,Brazil
Mexico,MEX,Mexico
Ukraine,UKR,Ukraine
Mozambique,MOZ,Mozambique
Australia,AUS,Australia
Canada,CAN,Canada
Mongolia,MNG,Mongolia
Namibia,NAM,Namibia
Zambia,ZMB,Zambia
Mauritania,MRT,Mauritania
South Africa,ZAF,South Africa
Democratic Republic of The Congo,COD,Dem. Rep. Congo
United States,USA,USA
Kazakhstan,KAZ,Kazakhstan
China,CHN,China
Russian Federation,RUS,Russia
Argentina,ARG,Argentina
Indonesia,IDN,Indonesia
Federal Republic of Nigeria,NGA,Nigeria
Niger,NER,Niger
Algeria,DZA,Algeria
India,IND,India
Ireland,IRL,Ireland
Republic of C̫te d'Ivoire,CIV,Cote d'Ivoire
Federal Republic of Somalia,SOM,Somalia
Sudan,SDN,Sudan
United Kingdom,GBR,United Kingdom
Ethiopia,ETH,Ethiopia
Philippines,PHL,Philippines
Malaysia,MYS,Malaysia
Ghana,GHA,Ghana
Jamaica,JAM,Jamaica
Armenia,ARM,Armenia
Kyrgyzstan,KGZ,Kyrgyzstan
Egypt,EGY,Egypt
Colombia,COL,Colombia
Peru,PER,Peru
Bolivia,BOL,Bolivia
Morocco,MAR,Morocco
Saudi Arabia,SAU,Saudi Arabia
Sweden,SWE,Sweden
Poland,POL,Poland
Turkey,TUR,Turkey
Georgia,GEO,Georgia
Eritrea,ERI,Eritrea
Portugal,PRT,Portugal
Tajikistan,TJK,Tajikistan
Chile,CHL,Chile
Botswana,BWA,Botswana
Iran,IRN,Iran
Uzbekistan,UZB,Uzbekistan
Honduras,HND,Honduras
Spain,ESP,Spain
Nicaragua,NIC,Nicaragua
Cuba,CUB,Cuba
Finland,FIN,Finland
Hungary,HUN,Hungary
Guyana,GUY,Guyana
Iraq,IRQ,Iraq
Japan,JPN,Japan
Republic of Cameroon,CMR,Cameroon
Oman,OMN,Oman
Republic of Yemen,YEM,Yemen
Papua New Guinea,PNG,Papua New Guinea
Jordan,JOR,Jordan
Mali,MLI,Mali
Madagascar,MDG,Madagascar
Romania,ROU,Romania
Venezuela,VEN,Venezuela
New Zealand,NZL,New Zealand
Serbia,SRB,Serbia
Sierra Leone,SLE,Sierra Leone
Kingdom of Cambodia,KHM,Cambodia
Angola,AGO,Angola
Republic of Paraguay,PRY,Paraguay
Democratic Socialist Republic of Sri Lanka,LKA,Sri Lanka
France,FRA,France
Republic of Chad,TCD,Chad
Zimbabwe,ZWE,Zimbabwe
Ecuador,ECU,Ecuador
Greenland,GRL,Greenland
Dominican Republic,DOM,Dominican Republic
Germany,DEU,Germany
Thailand,THA,Thailand
Lesotho,LSO,Lesotho
Cyprus,CYP,Cyprus
Bulgaria,BGR,Bulgaria
Suriname,SUR,Suriname
Burkina Faso,BFA,Burkina Faso
South Korea,KOR,South Korea
Guinea,GIN,Guinea
Laos,LAO,Laos
Kenya,KEN,Kenya
Guatemala,GTM,Guatemala
Uganda,UGA,Uganda
Republic of the Union of Myanmar,MMR,Myanmar
Panama,PAN,Panama
Austria,AUT,Austria
Republic of the Congo,COG,Rep. Of the Congo
Western Sahara,ESH,Western Sahara
Islamic Republic of Afghanistan,AFG,Afghanistan
Gabon,GAB,Gabon
Liberia,LBR,Liberia
Vietnam,VNM,Vietnam
United Republic of Tanzania,TZA,Tanzania
New Caledonia,NCL,New Caledonia
Central African Republic,CAF,Central African Rep.
Senegal,SEN,Senegal
Aruba,ABW,Aruba
Pakistan,PAK,Pakistan
Norway,NOR,Norway
Slovakia,SVK,Slovakia
Bangladesh,BGD,Bangladesh
Togolese Republic,TGO,Togo
Costa Rica,CRI,Costa Rica
Albania,ALB,Albania
North Korea,PRK,North Korea
Czech Republic,CZE,Czech Republic
Tunisia,TUN,Tunisia
Kingdom of Belgium,BEL,Belgium
Department of French Guiana,GUF,French Guiana
Nation of Brunei the Abode of Peace,BRN,Brunei
Republic of North Macedonia,MKD,Macedonia
Republic of South Sudan,SSD,South Sudan
Solomon Islands,SLB,Solomon Islands
Republic of Burundi,BDI,Burundi
Rwanda,RWA,Rwanda
Fiji,FJI,Fiji
Swiss Confederation,CHE,Switzerland
Italy,ITA,Italy
Netherlands,NLD,Netherlands
Uruguay,URY,Uruguay
Republic of Haiti,HTI,Haiti
Belize,BLZ,Belize
Turkmenistan,TKM,Turkmenistan
Malawi,MWI,Malawi
Taiwan,TWN,Taiwan
Azerbaijan,AZE,Azerbaijan
Kingdom of Tonga,TON,Tonga
Israel,ISR,Israel
Greece,GRC,Greece
Republic of El Salvador,SLV,El Salvador
Republic of Djibouti,DJI,Djibouti
Kingdom of Eswatini,SWZ,Swaziland
Republic of Equatorial Guinea,GNQ,Equatorial Guinea
Falkland Islands,FLK,Falkland Islands
Guinea-Bissau,GNB,Guinea-Bissau
United Arab Emirates,ARE,United Arab Emirates
Federal Democratic Republic of Nepal,NPL,Nepal
Republic of Belarus,BLR,Belarus
Bosnia and Herzegovina,BIH,Bosnia & Herzegovina
Republic of Benin,BEN,Benin
Republic of Vanuatu,VUT,Vanuatu
Montenegro,MNE,Montenegro
Niue,NIU,Niue
Grand Duchy of Luxembourg,LUX,Luxembourg
Iceland,ISL,Iceland
Slovenia,SVN,Slovenia
State of Libya,LBY,Libya